"MATCH_ID","SEASON_ID","SEASON_MATCH","PLAY_OFF_ID","DATE_ID","REFEREE_ID","TV_UMPIRE_ID","UMPIRE_ID1","UMPIRE_ID2","TEAM_A_ID","TEAM_B_ID","VENUE_ID","MATCH_TYPE_ID","TOTAL_OVERS","BALLS_PER_OVER","OVERS_PLAYED_BY_TEAM_A","BOWLS_PLAYED_BY_TEAM_A","EXTRA_BOWLS_PLAYED_BY_TEAM_A","EXTRA_RUNS_SCORED_BY_TEAM_A","FOURS_BY_TEAM_A","SIXES_BY_TEAM_A","TOTAL_SCORE_BY_TEAM_A","WICKET_LOST_BY_TEAM_A","OVERS_PLAYED_BY_TEAM_B","BOWLS_PLAYED_BY_TEAM_B","EXTRA_BOWLS_PLAYED_BY_TEAM_B","EXTRA_RUNS_SCORED_BY_TEAM_B","FOURS_BY_TEAM_B","SIXES_BY_TEAM_B","TOTAL_SCORE_BY_TEAM_B","WICKET_LOST_BY_TEAM_B","TOSS_WINNER_TEAM_ID","TOSS_DECISION","MATCH_RESULT","WINNER_TEAM_ID"
628,10,52,3,3312,7,54,46,59,4,15,12,1,20,6,19,124,7,7,14,6,168,8,19,125,10,10,13,6,161,7,4,"Bat","Result Declared",4
816,13,\\N,2,4590,1,49,33,20,3,11,10,1,20,6,19,123,4,4,15,4,156,7,18,112,4,4,14,7,157,5,3,"Bat","Result Declared",11
817,14,1,3,4740,18,54,46,20,11,17,19,1,20,6,19,124,4,4,15,6,159,9,19,126,12,12,12,4,160,8,17,"Field","Result Declared",17
825,14,9,3,4748,16,61,33,27,11,19,19,1,20,6,19,125,11,11,10,6,150,5,19,120,5,5,7,8,137,10,11,"Bat","Result Declared",11
828,14,12,3,4750,21,36,12,68,1,14,39,1,20,6,19,129,14,14,12,10,188,9,19,129,13,13,10,6,143,9,14,"Field","Result Declared",1
830,14,14,3,4752,16,61,27,20,13,19,19,1,20,6,19,120,11,11,7,2,120,10,18,116,5,5,6,4,121,1,13,"Bat","Result Declared",19
841,14,25,3,4760,21,38,54,47,9,3,22,1,20,6,19,121,7,7,10,7,154,6,16,104,6,6,18,5,156,3,3,"Field","Result Declared",3
845,14,29,3,4763,20,40,54,37,13,3,22,1,20,6,19,122,5,5,11,7,166,6,17,109,5,5,12,8,167,3,3,"Field","Result Declared",3
855,14,39,3,4910,14,59,54,35,17,11,10,1,20,6,19,127,11,11,12,9,165,6,18,114,7,7,11,1,111,10,11,"Field","Result Declared",17
861,14,45,3,4915,14,38,46,49,9,13,10,1,20,6,19,124,8,8,15,4,165,7,19,121,6,6,8,9,168,5,13,"Field","Result Declared",13
873,14,\\N,4,4924,1,67,20,49,3,1,10,1,20,6,19,126,6,6,15,6,172,5,19,121,4,4,17,5,173,6,1,"Field","Result Declared",1
875,14,\\N,5,4927,14,34,46,35,3,9,33,1,20,6,19,124,6,6,6,6,135,5,19,124,10,10,5,6,136,7,9,"Field","Result Declared",9
881,15,5,3,5094,20,61,32,23,14,19,21,1,20,6,19,130,14,14,16,14,210,6,19,125,10,10,11,6,149,7,19,"Field","Result Declared",14
883,15,7,3,5096,1,36,61,68,1,10,5,1,20,6,19,123,14,14,24,8,210,7,19,129,18,18,18,9,211,4,10,"Field","Result Declared",10
886,15,9,3,5098,27,62,20,19,14,11,8,1,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"Field","Result Declared",14
887,15,11,3,5099,1,49,61,47,13,1,5,1,20,6,19,133,14,14,12,11,180,8,17,112,4,4,11,5,126,10,1,"Field","Result Declared",13
907,15,31,3,5115,21,40,33,43,17,10,8,1,20,6,19,127,9,9,16,5,181,6,19,127,15,15,14,6,163,8,10,"Field","Result Declared",17
911,15,35,3,5119,18,28,46,23,6,9,8,1,20,6,19,127,10,10,10,5,156,9,19,126,7,7,11,9,148,8,6,"Bat","Result Declared",6
913,15,37,3,5120,20,62,57,24,10,11,39,1,20,6,19,125,8,8,13,7,168,6,19,128,14,14,8,4,132,8,11,"Field","Result Declared",10
933,15,57,3,5136,18,49,46,35,6,10,21,1,20,6,19,126,7,7,15,1,144,4,13,86,3,3,7,3,82,10,6,"Bat","Result Declared",6
939,15,63,3,5141,21,28,19,67,14,10,5,1,20,6,19,123,4,4,22,4,178,6,19,128,15,15,9,6,154,8,14,"Bat","Result Declared",14
945,15,69,3,5147,1,65,20,67,3,11,39,1,20,6,19,128,14,14,8,9,159,7,19,119,5,5,9,12,160,5,11,"Field","Result Declared",11
950,15,\\N,2,5155,1,61,33,20,14,6,22,1,20,6,19,120,2,2,11,4,130,9,18,113,9,9,10,4,133,3,14,"Bat","Result Declared",6
965,16,15,3,5471,27,34,54,21,17,10,18,1,20,6,19,124,12,12,12,15,212,2,19,129,16,16,17,12,213,9,10,"Field","Result Declared",10
970,16,20,3,5476,17,67,46,36,17,3,18,1,20,6,19,124,11,11,13,8,174,6,19,123,3,3,18,2,151,9,3,"Field","Result Declared",17
997,16,47,3,5495,18,69,46,35,9,19,28,1,20,6,19,127,8,8,16,6,171,9,19,127,14,14,15,5,166,8,9,"Bat","Result Declared",9
1002,16,52,3,5498,1,62,20,50,14,19,31,1,20,6,19,125,11,11,19,11,214,2,19,125,5,5,15,13,217,6,14,"Bat","Result Declared",19
